,fdc_id,data_type,description,food_category_id,protein_value,fat_value,carbohydrate_value
64,167750,sr_legacy_food,"Prickly pears, raw",,3.36,8.37,3.6
65,167751,sr_legacy_food,"Plums, dried (prunes), stewed, without added sugar",,3.36,8.37,3.6
66,167752,sr_legacy_food,"Plums, dried (prunes), stewed, with added sugar",,3.36,8.37,3.6
67,167753,sr_legacy_food,"Prune juice, canned",,3.36,8.37,3.92
68,167754,sr_legacy_food,"Pummelo, raw",,3.36,8.37,3.6
69,167755,sr_legacy_food,"Raspberries, raw",,3.36,8.37,3.6
70,167756,sr_legacy_food,"Raspberries, canned, red, heavy syrup pack, solids and liquids",,3.36,8.37,3.75
71,167757,sr_legacy_food,"Raspberries, frozen, red, sweetened",,3.36,8.37,3.78
72,167758,sr_legacy_food,"Rhubarb, raw",,3.36,8.37,3.6
73,167759,sr_legacy_food,"Sapodilla, raw",,3.36,8.37,3.6
74,167760,sr_legacy_food,"Sapote, mamey, raw",,3.36,8.37,3.6
75,167761,sr_legacy_food,"Soursop, raw",,3.36,8.37,3.6
76,167762,sr_legacy_food,"Strawberries, raw",,3.36,8.37,3.6
77,167763,sr_legacy_food,"Tamarinds, raw",,3.36,8.37,3.6
78,167764,sr_legacy_food,"Fruit salad, (pineapple and papaya and banana and guava), tropical, canned, heavy syrup, solids and liquids",,3.36,8.37,3.75
79,167765,sr_legacy_food,"Watermelon, raw",,3.36,8.37,3.6
80,167766,sr_legacy_food,"Maraschino cherries, canned, drained",,3.36,8.37,3.87
81,167767,sr_legacy_food,"Pineapple, canned, juice pack, drained",,3.36,8.37,3.7
82,167768,sr_legacy_food,"Apricots, canned, heavy syrup, drained",,3.36,8.37,3.75
83,167769,sr_legacy_food,"Cherries, sour, canned, water pack, drained",,3.36,8.37,3.6
84,167770,sr_legacy_food,"Cherries, sweet, canned, pitted, heavy syrup, drained",,3.36,8.37,3.75
85,167771,sr_legacy_food,"Apple juice, canned or bottled, unsweetened, with added ascorbic acid",,3.36,8.37,3.92
86,167772,sr_legacy_food,"Applesauce, canned, unsweetened, with added ascorbic acid",,3.36,8.37,3.6
87,167773,sr_legacy_food,"Applesauce, canned, sweetened, with salt",,3.36,8.37,3.75
88,167774,sr_legacy_food,"Grapefruit juice, pink, raw",,3.36,8.37,3.92
89,167775,sr_legacy_food,"Apple juice, frozen concentrate, unsweetened, diluted with 3 volume water, with added ascorbic acid",,3.36,8.37,3.92
90,167782,sr_legacy_food,"Abiyuch, raw",,3.36,8.37,3.6
91,167783,sr_legacy_food,"Rowal, raw",,3.36,8.37,3.6
92,167784,sr_legacy_food,"Guava nectar, canned, with added ascorbic acid",,3.36,8.37,3.8
93,167785,sr_legacy_food,"Mango nectar, canned",,3.36,8.37,3.8
94,167786,sr_legacy_food,"Tamarind nectar, canned",,3.36,8.37,3.8
95,167787,sr_legacy_food,"Pomegranate juice, bottled",,3.36,8.37,3.92
96,167788,sr_legacy_food,"Nance, canned, syrup, drained",,3.36,8.37,3.6
97,167789,sr_legacy_food,"Nance, frozen, unsweetened",,3.36,8.37,3.6
98,167790,sr_legacy_food,"Naranjilla (lulo) pulp, frozen, unsweetened",,3.36,8.37,3.6
99,167791,sr_legacy_food,Horned melon (Kiwano),,3.36,8.37,3.6
100,167794,sr_legacy_food,"Orange juice, chilled, includes from concentrate, with added calcium and vitamins A, D, E",,3.36,8.37,3.92
101,167796,sr_legacy_food,"Fruit juice smoothie, NAKED JUICE, GREEN MACHINE",,3.36,8.37,3.92
102,167798,sr_legacy_food,"Fruit juice smoothie, BOLTHOUSE FARMS, GREEN GOODNESS",,3.36,8.37,3.92
103,167799,sr_legacy_food,"Fruit juice smoothie, BOLTHOUSE FARMS, strawberry banana",,3.36,8.37,3.92
104,167802,sr_legacy_food,"Lemon juice from concentrate, bottled, REAL LEMON",,3.36,8.37,2.7
105,167803,sr_legacy_food,"Cranberry sauce, whole, canned, OCEAN SPRAY",,3.36,8.37,3.84
106,167804,sr_legacy_food,"Cranberry sauce, jellied, canned, OCEAN SPRAY",,3.36,8.37,3.84
107,167805,sr_legacy_food,"Ruby Red grapefruit juice blend (grapefruit, grape, apple), OCEAN SPRAY, bottled, with added vitamin C",,3.36,8.37,3.92
108,167806,sr_legacy_food,Baobab powder,,3.36,8.37,3.6
109,167807,sr_legacy_food,"Cherry juice, tart",,3.36,8.37,3.92
110,167808,sr_legacy_food,"Raspberries, puree, seedless",,3.36,8.37,3.75
111,167809,sr_legacy_food,"Raspberries, puree, with seeds",,3.36,8.37,3.75
112,167810,sr_legacy_food,"Pork, fresh, composite of trimmed leg, loin, shoulder, and spareribs, (includes cuts to be cured), separable lean and fat, raw",,4.27,9.02,3.87
113,167811,sr_legacy_food,"Pork, fresh, backfat, raw",,4.27,9.02,3.87
114,167812,sr_legacy_food,"Pork, fresh, belly, raw",,4.27,9.02,3.87
115,167813,sr_legacy_food,"Pork, fresh, separable fat, raw",,4.27,9.02,3.87
116,167814,sr_legacy_food,"Pork, fresh, leg (ham), rump half, separable lean and fat, raw",,4.27,9.02,3.87
117,167815,sr_legacy_food,"Pork, fresh, leg (ham), rump half, separable lean and fat, cooked, roasted",,4.27,9.02,3.87
118,167816,sr_legacy_food,"Pork, fresh, leg (ham), rump half, separable lean only, raw (Includes foods for USDA's Food Distribution Program)",,4.27,9.02,3.87
119,167817,sr_legacy_food,"Pork, fresh, leg (ham), rump half, separable lean only, cooked, roasted",,4.27,9.02,3.87
